Pontos;Nome;Data;Semente;Destino;Enterrada;Distancia;D2;D3;D4;Mudanca
AFV01;Restaurante Acima;01.06.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C1;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C10;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C2;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C3;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C4;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C5;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C5;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C5;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C5;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C5;D;N;25.8;0;0;0;S
AFV01;Restaurante Acima;15.06.2017;C5;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C5;D;N;15.7;0;0;0;S
AFV01;Restaurante Acima;18.05.2017;C5;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C5;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C5;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C6;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C7;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C7;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C7;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C7;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C7;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C7;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C7;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C7;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C8;N;N;0;0;0;0;N
AFV01;Restaurante Acima;01.06.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;05.05.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;07.05.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;11.05.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;13.07.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.06.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;15.08.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;18.05.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;25.05.2017;C9;N;N;0;0;0;0;N
AFV01;Restaurante Acima;29.06.2017;C9;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;01.06.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;05.05.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;07.05.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;11.05.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;13.07.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;15.06.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;15.08.2017;C1;P;N;3.4;0;0;0;N
AFV02;Restaurante Abaixo;18.05.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;25.05.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;29.06.2017;C1;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;01.06.2017;C10;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;05.05.2017;C10;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;07.05.2017;C10;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;11.05.2017;C10;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;13.07.2017;C10;N;N;0;0;0;0;N
AFV02;Restaurante Abaixo;15.06.2017;C10;N;N;0;0;0;0;N
